Model,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost,0.976687543493389,0.98,0.9894446994033961,0.9846997031285681,0.9968905279631274
Neural Network,0.9853862212943633,0.989912883998166,0.9908214777420835,0.9903669724770642,0.9982494775175729
