Model,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost (传统特征),0.9926931106471816,0.9963201471941122,0.9940339605323543,0.9951757408683667,0.9994499489898674
Neural Network (传统特征),0.975991649269311,0.9778079710144928,0.9908214777420835,0.9842717118759973,0.9962883112509533
